dataset,best_dbscan_algorithm,eps,min_samples,best_dbscan_ari,external_composite
fcps/atom,dbscan_eps_0.7_min_samples_3,0.7,3.0,1.0,1.0
fcps/chainlink,dbscan_eps_0.2_min_samples_3,0.2,3.0,1.0,1.0
fcps/engytime,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.004123358974771214,0.02500635053312685
fcps/hepta,dbscan_eps_0.5_min_samples_3,0.5,3.0,1.0,1.0
fcps/lsun,dbscan_eps_0.3_min_samples_3,0.3,3.0,0.9973471459135563,0.9953297057542247
fcps/target,dbscan_eps_0.3_min_samples_3,0.3,3.0,1.0,1.0
fcps/tetra,dbscan_eps_0.5_min_samples_3,0.5,3.0,0.6958195718090178,0.7210774950412279
fcps/twodiamonds,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.3478286306827279,0.4169638226098122
fcps/wingnut,dbscan_eps_0.2_min_samples_3,0.2,3.0,0.9882121018003803,0.9799041771696575
graves/dense,dbscan_eps_0.1_min_samples_5,0.1,5.0,1.0,1.0
graves/fuzzyx,dbscan_eps_0.1_min_samples_5,0.1,5.0,0.17311797173455337,0.30428277864593456
graves/line,dbscan_eps_0.1_min_samples_10,0.1,10.0,1.0,1.0
graves/parabolic,dbscan_eps_0.2_min_samples_10,0.2,10.0,0.9330035909573882,0.9048683472032641
graves/ring,dbscan_eps_0.2_min_samples_3,0.2,3.0,1.0,1.0
graves/ring_noisy,dbscan_eps_0.2_min_samples_3,0.2,3.0,0.996011164646206,0.9868888650716708
graves/ring_outliers,dbscan_eps_0.2_min_samples_3,0.2,3.0,1.0,1.0
graves/zigzag,dbscan_eps_0.2_min_samples_3,0.2,3.0,1.0,1.0
graves/zigzag_noisy,dbscan_eps_0.2_min_samples_5,0.2,5.0,0.9022490991662916,0.9051325261530797
graves/zigzag_outliers,dbscan_eps_0.2_min_samples_3,0.2,3.0,0.9874546509577989,0.9785845015228808
sipu/a1,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.21676486973558567,0.4434000771416303
sipu/a2,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.2701346444820335,0.5115591547066549
sipu/a3,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.2786120329788272,0.5159810895242667
sipu/aggregation,dbscan_eps_0.2_min_samples_3,0.2,3.0,0.8089434170360936,0.8491744651568842
sipu/compound,dbscan_eps_0.2_min_samples_5,0.2,5.0,0.8853206588329537,0.897113935074444
sipu/d31,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.47301427816372216,0.6531066106241563
sipu/flame,dbscan_eps_0.1_min_samples_3,0.1,3.0,0.758785849359144,0.7227411545978479
sipu/jain,dbscan_eps_0.2_min_samples_10,0.2,10.0,0.9232117565495284,0.8659130649465663
sipu/pathbased,dbscan_eps_0.3_min_samples_10,0.3,10.0,0.9195181248088738,0.9220984419337332
sipu/r15,dbscan_eps_0.1_min_samples_3,0.1,3.0,0.9375177829535192,0.9442891859000245
sipu/s1,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.9438482451053988,0.9462886858309568
sipu/s2,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.7101081600550045,0.7791622523446117
sipu/s3,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.08699566926610594,0.2143447432173582
sipu/s4,dbscan_eps_0.1_min_samples_10,0.1,10.0,0.16763572673767219,0.32267302751195914
sipu/spiral,dbscan_eps_0.2_min_samples_3,0.2,3.0,1.0,1.0
sipu/unbalance,dbscan_eps_0.1_min_samples_3,0.1,3.0,0.9998839658167379,0.9983817066570434
uci/ecoli,dbscan_eps_1.0_min_samples_10,1.0,10.0,0.4690172992719444,0.4665678211672275
uci/glass,dbscan_eps_0.1_min_samples_5,0.1,5.0,0.04046284428666474,0.05406274710817238
uci/ionosphere,dbscan_eps_1.5_min_samples_3,1.5,3.0,0.2248008944358799,0.2530830260001184
uci/sonar,dbscan_eps_1.5_min_samples_3,1.5,3.0,0.0047571841055284066,0.07932261970904347
uci/statlog,dbscan_eps_0.3_min_samples_3,0.3,3.0,0.30249939443741025,0.4204565190319161
uci/wdbc,dbscan_eps_0.2_min_samples_10,0.2,10.0,0.7121200288336492,0.7087229975085401
uci/wine,dbscan_eps_0.2_min_samples_10,0.2,10.0,0.28731215028007523,0.33762455052450113
uci/yeast,dbscan_eps_0.5_min_samples_10,0.5,10.0,0.02564762978732581,0.02540354054818572
